"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C14","5","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C5","1","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6,C7,C17","3","1u","","","","","~"
"C8","1","10n","","","","","~"
"C12","1","2.2u","","","","","~"
"C15,C23","2","100n","","","","","~"
"C16,C18","2","4.7u","","","","","~"
"C19,C20,C21,C22","4","10u","","","","","~"
"C24,C25,C26","3","22u","","","","","~"
"CY1,CY2","2","10p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"CY3,CY4","2","22p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","ESD9B5.0ST5G","","","","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"D3,D4,D5,D6,D7,D8","6","LED","","","","","~"
"D9","1","R","","","","","~"
"DWM1","1","DWM1000","","","","RF_Module:DWM1000","https://www.decawave.com/sites/default/files/resources/dwm1000-datasheet-v1.3.pdf"
"F1","1","Polyfuse","","","","","~"
"FB1","1","FerriteBead","","","","","~"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","BATTERY","","","","B2B-PH-SM4-TB:JST_B2B-PH-SM4-TB",""
"L2","1","1.5u","","","","","~"
"R3,R4","2","10K","","","","","~"
"R5,R6","2","4.7k","","","","","~"
"R7,R12,R13,R14","4","100k","","","","","~"
"R8,R9,R10,R11,R15,R16,R22,R23,R26","9","10k","","","","","~"
"R17,R18","2","5k1","","","","","~"
"R19","1","1.13k","","","","","~"
"R20","1","1.18k","","","","","~"
"R21","1","1.5k","","","","","~"
"R24","1","470k","","","","","~"
"R25","1","150k","","","","","~"
"SW1","1","SW_SPDT","","","","","~"
"SW2","1","SW_Push","","","","","~"
"U1","1","STM32F411CEUx","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32f411ce.pdf"
"U2","1","ICM-42688-P","","","","ICM-42688-P:PQFN50P300X250X97-14N",""
"U4","1","BQ24075RGT","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","http://www.ti.com/lit/ds/symlink/bq24075.pdf"
"U5","1","TPS63070RNMR","","","","TPS63070RNMR:VREG_TPS63070RNMR",""
"Y2","1","NX3215SA-32.768kHz","","","","Crystal:Crystal_SMD_HC49-SD_HandSoldering","~"
"Y3","1","NX3225SA-24MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~"
