========================================================================================================================================================================================================================================================================
LOG VIEW: 20260529_15g19p_ukf_log_data.csv
========================================================================================================================================================================================================================================================================
FRAME | TX   | STATUS  | AX        | AY        | GZ        | PX       | PY        | DT       | MASK | D1        | D2        | D3        | D4        | ERR  | AMP1       | AMP2          | AMP3       | AMP4       | SNR1       | SNR2      | SNR3       | SNR4      
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1 |    1 | Init    | -0.365116 | -0.004788 |  0.010525 | 1.798886 |  0.422626 | 0.010000 |   11 |  1.894194 |  7.978000 |  0.000000 | 11.925139 |   50 | 107.703125 |     47.148438 |        nan |  19.480469 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    2 |    2 | Update  | -0.390255 |  0.008380 |  0.011991 | 1.769839 |  0.204410 | 0.050000 |   11 |  1.892211 |  8.018155 |  0.000000 | 14.427169 |   50 | 126.906250 |     49.730469 |        nan |  25.000000 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    3 |    3 | Update  | -0.377087 | -0.005986 |  0.011325 | 1.861315 |  0.411506 | 0.053000 |    7 |  1.941074 |  7.917860 | 11.940144 | 14.437195 |   50 | 124.582031 |     58.855469 |  21.187500 |  35.167969 | 244.000000 | 63.000000 | 138.000000 | 138.000000
    4 |    4 | Predict | -0.381875 | -0.007183 |  0.011058 | 1.861315 |  0.411506 | 0.050000 |    7 |  1.941074 |  7.917860 | 11.940144 | 14.437195 |   50 | 124.582031 |     58.855469 |  21.187500 |  35.167969 | 244.000000 | 63.000000 | 138.000000 | 138.000000
    5 |    5 | Update  | -0.362722 | -0.019154 |  0.011458 | 1.840680 |  0.408045 | 0.050000 |    7 |  1.919199 |  7.937938 | 11.940144 |  0.000000 |   50 | 120.046875 |     48.421875 |  19.500000 |   0.000000 | 244.000000 | 63.000000 | 138.000000 |   0.000000
    6 |    6 | Predict | -0.369904 | -0.019154 |  0.012257 | 1.840680 |  0.408045 | 0.050000 |    7 |  1.919199 |  7.937938 | 11.940144 |  0.000000 |   51 | 120.046875 |     48.421875 |  19.500000 |   0.000000 | 244.000000 | 63.000000 | 138.000000 |   0.000000
    7 |    7 | Predict | -0.384269 | -0.015562 |  0.011325 | 1.840680 |  0.408045 | 0.050000 |    7 |  1.919199 |  7.937938 | 11.940144 |  0.000000 |   51 | 120.046875 |     48.421875 |  19.500000 |   0.000000 | 244.000000 | 63.000000 | 138.000000 |   0.000000
    8 |    8 | Update  | -0.375890 | -0.014365 |  0.009992 | 1.807649 |  0.224058 | 0.050000 |   11 |  1.831995 |  7.957921 |  0.000000 | 14.377117 |   51 | 144.875000 |     59.625000 |        nan |  40.835938 | 244.000000 | 63.000000 |   0.000000 | 138.000000
    9 |    9 | Predict | -0.368707 |  0.007183 |  0.011591 | 1.807649 |  0.224058 | 0.052000 |   11 |  1.831995 |  7.957921 |  0.000000 | 14.377117 |   52 | 144.875000 |     59.625000 |        nan |  40.835938 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   10 |   10 | Predict | -0.379481 |  0.000000 |  0.011724 | 1.807649 |  0.224058 | 0.050000 |   11 |  1.831995 |  7.957921 |  0.000000 | 14.377117 |   52 | 144.875000 |     59.625000 |        nan |  40.835938 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   11 |   11 | Update  | -0.380678 |  0.001197 |  0.010525 | 1.759835 |  0.532627 | 0.050000 |    7 |  1.966619 |  8.048182 | 11.819962 |  0.000000 |   52 | 112.636719 |     51.816406 |  20.117188 |   0.000000 | 244.000000 | 63.000000 | 138.000000 |   0.000000
   12 |   12 | Update  | -0.389058 |  0.015562 |  0.009726 | 1.814620 |  0.178086 | 0.051000 |   11 |  1.952505 |  7.978002 |  0.000000 | 14.427169 |   52 | 135.363281 |     43.515625 |   0.000000 |  36.460938 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   13 |   13 | Predict | -0.387861 |  0.003591 |  0.011991 | 1.814620 |  0.178086 | 0.050000 |   11 |  1.952505 |  7.978002 |  0.000000 | 14.427169 |   52 | 135.363281 |     43.515625 |   0.000000 |  36.460938 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   14 |   14 | Update  | -0.379481 | -0.011971 |  0.011458 | 1.774137 |  0.400674 | 0.050000 |    7 |  1.871758 |  8.008116 | 11.940144 | 14.437195 |   52 | 151.992188 |     61.335938 |  30.285156 |  38.324219 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   15 |   15 | Update  | -0.374693 | -0.013168 |  0.011858 | 1.811448 |  0.404230 | 0.050000 |    7 |  1.894796 |  7.967960 | 11.940144 | 14.437195 |   52 | 158.214844 |     79.621094 |  30.503906 |  39.812500 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   16 |   16 | Predict | -0.368707 | -0.015562 |  0.011191 | 1.811448 |  0.404230 | 0.050000 |    7 |  1.894796 |  7.967960 | 11.940144 | 14.437195 |   52 | 158.214844 |     79.621094 |  30.503906 |  39.812500 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   17 |   17 | Update  | -0.369904 |  0.000000 |  0.011058 | 1.812063 |  0.047356 | 0.050000 |   11 |  1.939695 |  7.978005 |  0.000000 | 14.537299 |   52 |  89.035156 |     44.746094 |   0.000000 |  20.832031 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   18 |   18 | Predict | -0.367510 | -0.007183 |  0.011325 | 1.812063 |  0.047356 | 0.050000 |   11 |  1.939695 |  7.978005 |  0.000000 | 14.537299 |   53 |  89.035156 |     44.746094 |   0.000000 |  20.832031 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   19 |   19 | Predict | -0.386664 |  0.004788 |  0.011325 | 1.812063 |  0.047356 | 0.050000 |   11 |  1.939695 |  7.978005 |  0.000000 | 14.537299 |   53 |  89.035156 |     44.746094 |   0.000000 |  20.832031 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   20 |   20 | Update  | -0.374693 |  0.007183 |  0.010925 | 1.767957 |  0.519291 | 0.050000 |    7 |  1.882073 |  8.018059 | 11.819962 | 14.417145 |   53 | 151.769531 |     61.859375 |  23.933594 |  32.308594 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   21 |   21 | Predict | -0.367510 | -0.007183 |  0.010792 | 1.767957 |  0.519291 | 0.050000 |    7 |  1.882073 |  8.018059 | 11.819962 | 14.417145 |   53 | 151.769531 |     61.859375 |  23.933594 |  32.308594 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   22 |   22 | Predict | -0.373495 | -0.011971 |  0.010658 | 1.767957 |  0.519291 | 0.050000 |    7 |  1.882073 |  8.018059 | 11.819962 | 14.417145 |   54 | 151.769531 |     61.859375 |  23.933594 |  32.308594 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   23 |   23 | Predict | -0.377087 | -0.040701 |  0.010658 | 1.767957 |  0.519291 | 0.050000 |    7 |  1.882073 |  8.018059 | 11.819962 | 14.417145 |   55 | 151.769531 |     61.859375 |  23.933594 |  32.308594 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   24 |   24 | Predict | -0.383072 |  0.001197 |  0.009992 | 1.767957 |  0.519291 | 0.050000 |    7 |  1.882073 |  8.018059 | 11.819962 | 14.417145 |   56 | 151.769531 |     61.859375 |  23.933594 |  32.308594 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   25 |   25 | Predict | -0.362722 | -0.005986 |  0.011191 | 1.767957 |  0.519291 | 0.050000 |    7 |  1.882073 |  8.018059 | 11.819962 | 14.417145 |   56 | 151.769531 |     61.859375 |  23.933594 |  32.308594 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   26 |   26 | Update  | -0.371101 | -0.002394 |  0.010658 | 1.806269 |  0.517117 | 0.050000 |    7 |  1.867929 |  7.967960 | 11.819962 | 14.437195 |   56 | 120.164062 |     71.843750 |  31.265625 |  32.734375 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   27 |   27 | Update  | -0.374693 |  0.003591 |  0.010259 | 1.843971 |  0.140095 | 0.051000 |   11 |  1.935873 |  7.937941 |  0.000000 | 14.437195 |   56 | 103.003906 |     54.074219 |        nan |  18.750000 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   28 |   28 | Predict | -0.377087 | -0.009577 |  0.012124 | 1.843971 |  0.140095 | 0.050000 |   11 |  1.935873 |  7.937941 |  0.000000 | 14.437195 |   56 | 103.003906 |     54.074219 |        nan |  18.750000 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   29 |   29 | Predict | -0.375890 |  0.002394 |  0.011325 | 1.843971 |  0.140095 | 0.050000 |   11 |  1.935873 |  7.937941 |  0.000000 | 14.437195 |   57 | 103.003906 |     54.074219 |        nan |  18.750000 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   30 |   30 | Update  | -0.396240 |  0.001197 |  0.011191 | 1.814644 |  0.523879 | 0.050000 |    7 |  1.911584 |  7.968055 | 11.819962 | 14.407122 |   57 | 158.164062 |     80.726562 |  29.148438 |  32.921875 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   31 |   31 | Predict | -0.379481 |  0.015562 |  0.012524 | 1.814644 |  0.523879 | 0.050000 |    7 |  1.911584 |  7.968055 | 11.819962 | 14.407122 |   57 | 158.164062 |     80.726562 |  29.148438 |  32.921875 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   32 |   32 | Update  | -0.368707 | -0.011971 |  0.010525 | 1.791735 |  0.512052 | 0.050000 |    7 |  1.834551 |  7.978002 | 11.819962 | 14.457174 |   57 | 128.511719 |     66.976562 |  28.851562 |  36.042969 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   33 |   33 | Predict | -0.384269 | -0.004788 |  0.009992 | 1.791735 |  0.512052 | 0.050000 |    7 |  1.834551 |  7.978002 | 11.819962 | 14.457174 |   58 | 128.511719 |     66.976562 |  28.851562 |  36.042969 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   34 |   34 | Predict | -0.381875 |  0.005986 |  0.010792 | 1.791735 |  0.512052 | 0.050000 |    7 |  1.834551 |  7.978002 | 11.819962 | 14.457174 |   58 | 128.511719 |     66.976562 |  28.851562 |  36.042969 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   35 |   35 | Update  | -0.377087 |  0.008380 |  0.010792 | 1.748973 |  0.040413 | 0.050000 |   11 |  1.953779 |  8.058219 |  0.000000 | 14.587283 |   58 | 102.714844 |     52.566406 |   0.000000 |  37.957031 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   36 |   36 | Update  | -0.380678 |  0.010774 |  0.011191 | 1.762062 |  0.180623 | 0.051000 |   11 |  1.851261 |  8.018062 |  0.000000 | 14.447218 |   58 | 139.425781 |     62.292969 |        nan |  32.726562 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   37 |   37 | Predict | -0.396240 |  0.009577 |  0.011858 | 1.762062 |  0.180623 | 0.050000 |   11 |  1.851261 |  8.018062 |  0.000000 | 14.447218 |   58 | 139.425781 |     62.292969 |        nan |  32.726562 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   38 |   38 | Predict | -0.368707 | -0.007183 |  0.009593 | 1.762062 |  0.180623 | 0.050000 |   11 |  1.851261 |  8.018062 |  0.000000 | 14.447218 |   59 | 139.425781 |     62.292969 |        nan |  32.726562 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   39 |   39 | Predict | -0.375890 | -0.004788 |  0.010925 | 1.762062 |  0.180623 | 0.050000 |   11 |  1.851261 |  8.018062 |  0.000000 | 14.447218 |   60 | 139.425781 |     62.292969 |        nan |  32.726562 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   40 |   40 | Predict | -0.393846 |  0.003591 |  0.011191 | 1.762062 |  0.180623 | 0.050000 |   11 |  1.851261 |  8.018062 |  0.000000 | 14.447218 |   60 | 139.425781 |     62.292969 |        nan |  32.726562 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   41 |   41 | Update  | -0.367510 | -0.009577 |  0.010392 | 1.767218 |  0.204431 | 0.050000 |   11 |  1.878245 |  8.018062 |  0.000000 | 14.427099 |   60 | 134.375000 |     43.531250 |        nan |  33.433594 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   42 |   42 | Update  | -0.377087 |  0.002394 |  0.011058 | 1.831700 |  0.530972 | 0.051000 |    7 |  1.956326 |  7.958016 | 11.819962 | 14.437124 |   60 | 136.101562 |     52.335938 |  18.933594 |  30.679688 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   43 |   43 | Predict | -0.379481 |  0.004788 |  0.011724 | 1.831700 |  0.530972 | 0.050000 |    7 |  1.956326 |  7.958016 | 11.819962 | 14.437124 |   60 | 136.101562 |     52.335938 |  18.933594 |  30.679688 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   44 |   44 | Predict | -0.377087 | -0.001197 |  0.010392 | 1.831700 |  0.530972 | 0.050000 |    7 |  1.956326 |  7.958016 | 11.819962 | 14.437124 |   61 | 136.101562 |     52.335938 |  18.933594 |  30.679688 | 244.000000 | 63.000000 | 138.000000 | 138.000000
   45 |   45 | Update  | -0.379481 | -0.013168 |  0.012124 | 1.774688 |  0.013956 | 0.050000 |   11 |  1.916684 |  8.018064 |  0.000000 | 14.587283 |   61 | 114.644531 |     51.316406 |   0.000000 |  27.644531 | 244.000000 | 63.000000 |   0.000000 | 138.000000
   46 |   46 | Predict | -0.386664 | -0.001197 |  0.010525 | 1.774688 |  0.013956 | 0.050000 |   11 |  1.916684 |  8.018064 |  0.000000 | 14.587283 |   61 | 114.644531 |     51.316406 |   0.000000 |  27.644531 | 244.000000 | 63.000000 |   0.000000 | 138.000000
